trial_id,origin,destination,safest_distance,safest_risk,safest_nodes,shortest_distance,shortest_risk,shortest_nodes,balanced_distance,balanced_risk,balanced_nodes,distance_increase_safest,risk_reduction_safest,distance_increase_balanced,risk_reduction_balanced,safest_efficiency,shortest_efficiency,balanced_efficiency
73,136,190,2570.729825032924,248.74647124470306,10,2365.485035971042,300.50548628802176,10,2398.4393441366847,269.498224261108,10,8.676647112148311,17.223983389677578,1.3931311196020564,10.318368030457384,10.334738869537498,7.871686687622818,8.89964804299755
74,308,354,2542.3585092852277,129.29556738142537,9,1682.0112849985067,205.96955114819428,9,1749.7794132308586,175.44226744319292,9,51.14990796791739,37.22588282556497,4.028993671847577,14.821260489632811,19.6631528889556,8.166310387248968,9.973533964940495
75,336,305,3284.6612404941147,253.15160395936678,13,2663.381893147013,373.29014088073137,15,2665.303869541917,337.86217250942195,13,23.326709134190548,32.18368870871134,0.07216300448121676,9.490732406626535,12.97507576140554,7.1348841061355035,7.888731223580792
76,329,266,1671.386132808221,151.3888846926177,7,1197.7269699069545,221.53580737427893,7,1318.5090693043344,175.44983374653776,7,39.546505572807014,31.663920841089972,10.084276503080064,20.80294566100555,11.04034907319536,5.406471234166792,7.515020340282045
77,63,238,5758.332584382907,497.86522741550135,24,3832.8336343314927,729.33328954477,24,3864.5774837033537,705.3655736676853,24,50.23695609442365,31.736939126108542,0.8282083805444792,3.2862500890429156,11.566046928554018,5.255256669723445,5.478829174506961
78,54,32,693.8964367153008,64.46899378099315,4,693.8964367153008,64.46899378099315,4,693.8964367153008,64.46899378099315,4,0.0,0.0,0.0,0.0,10.763258366844193,10.763258366844193,10.763258366844193
79,242,65,2927.1038992885515,246.91893727116707,13,2456.225190277524,257.0082334892597,13,2456.225190277524,257.0082334892597,13,19.170828101385283,3.9256704274084058,0.0,0.0,11.854513597205377,9.556990283660188,9.556990283660188
80,354,32,4935.386138201491,469.20538132423013,19,3871.4980645547625,589.4646801812696,19,3882.5756243318533,560.687341607046,19,27.4800104741646,20.40144268186821,0.2861310942787393,4.881944506899732,10.518605145304253,6.567820252375793,6.924671445593167
81,360,65,4398.556502777698,399.3087730920468,21,3921.295198844362,448.73965998525927,21,3927.677793766671,409.3980693101394,21,12.171011865518038,11.015493236063918,0.16276751936937023,8.767130294748672,11.015426655210913,8.738463631614762,9.593786801156748
82,265,60,4759.287900106784,286.90053597343433,16,3046.299069260066,440.0001670783496,16,3243.2362071616944,364.389152109454,16,56.23180101167139,34.79535749304687,6.464799857929367,17.18431505855127,16.588633701776953,6.923404346611578,8.900474090368919
83,259,83,6130.263890290638,534.4218903349525,25,4194.74974430047,966.3315130627068,25,4236.508789611086,741.9222365871366,25,46.14134963879568,44.69580230896671,0.99550742847902,23.222804331851272,11.470832316483994,4.340901323817499,5.710179019703126
